"Champion";"G";"PB%";"B";"G";"By";"W";"L";"WR";"K";"D";"A";"KDA";"CS";"CS/M";"G";"G/M";"KPAR";"KS";"GS";"As"
"Nocturne";"8";"3.6%";"5";"3";"2";"3";"0";"100%";"2";"2";"7.67";"4.83";"223.33";"6.45";"12";"347";"56.9%";"11.8%";"18.2%";""
"Caitlyn";"7";"3.1%";"1";"6";"3";"3";"3";"50%";"2.33";"1.83";"4.5";"3.73";"381.33";"10.27";"15.9";"427";"87.2%";"29.8%";"26.1%";""
"Ziggs";"7";"3.1%";"1";"6";"5";"1";"5";"16.7%";"1.33";"1.83";"2.33";"2";"327.5";"9.77";"12.9";"384";"78.6%";"28.6%";"23.9%";""
"Shen";"7";"3.1%";"3";"4";"2";"2";"2";"50%";"0.75";"2.25";"6.75";"3.33";"90.75";"2.74";"8.5";"256";"76.9%";"7.7%";"14.8%";""
"Kayle";"6";"2.7%";"2";"4";"3";"3";"1";"75%";"6";"2";"5.75";"5.88";"375.75";"9.84";"18.3";"478";"77%";"39.3%";"26.3%";""
"Vel'Koz";"5";"2.2%";"2";"3";"1";"3";"0";"100%";"4";"1";"7.33";"11.33";"268.67";"7.82";"13.3";"386";"81%";"28.6%";"21.3%";""
"Lissandra";"5";"2.2%";"2";"3";"2";"1";"2";"33.3%";"2.33";"3";"4.67";"2.33";"270.33";"7.88";"12.4";"363";"65.6%";"21.9%";"21.6%";""
"Lulu";"4";"1.8%";"-";"4";"2";"2";"2";"50%";"0";"1.25";"9.75";"7.8";"30.25";"0.85";"8";"226";"78%";"0%";"12.9%";""
"Nidalee";"4";"1.8%";"2";"2";"2";"1";"1";"50%";"1.5";"2";"6.5";"4";"233";"6.89";"11.5";"341";"84.2%";"15.8%";"20.3%";""
"Poppy";"4";"1.8%";"2";"2";"2";"0";"2";"0%";"1";"5";"2";"0.6";"179.5";"5.14";"10.1";"289";"60%";"20%";"18.8%";""
"Sivir";"4";"1.8%";"3";"1";"1";"0";"1";"0%";"2";"3";"0";"0.67";"242";"8.58";"9.8";"348";"40%";"40%";"22.6%";""
"Neeko";"3";"1.3%";"-";"3";"3";"2";"1";"66.7%";"1";"1";"5.33";"6.33";"262.33";"9.45";"10.7";"385";"59.4%";"9.4%";"21.6%";""
"Sion";"3";"1.3%";"-";"3";"2";"2";"1";"66.7%";"2";"3.67";"7.67";"2.64";"187.33";"6.44";"10";"344";"72.5%";"15%";"19.9%";""
"Vayne";"3";"1.3%";"-";"3";"3";"1";"2";"33.3%";"3.67";"1.33";"3";"5";"280.33";"8.64";"13.2";"406";"76.9%";"42.3%";"24.8%";""
"Kled";"3";"1.3%";"2";"1";"1";"0";"1";"0%";"0";"1";"1";"1";"250";"8.06";"10";"321";"100%";"0%";"21.1%";""
"Tristana";"2";"0.9%";"-";"2";"1";"2";"0";"100%";"1.5";"0.5";"3";"9";"358";"9.62";"16.1";"434";"52.9%";"17.6%";"23.5%";""
"Graves";"2";"0.9%";"-";"2";"2";"1";"1";"50%";"3";"1";"7";"10";"261.5";"8.48";"12.6";"410";"66.7%";"20%";"22.1%";""
"Vladimir";"2";"0.9%";"-";"2";"2";"1";"1";"50%";"1";"2";"1.5";"1.25";"314.5";"9.12";"13";"377";"33.3%";"13.3%";"21.6%";""
"Brand";"2";"0.9%";"-";"2";"1";"0";"2";"0%";"0.5";"2.5";"2.5";"1.2";"19";"0.7";"5.8";"212";"100%";"16.7%";"14.4%";""
"Nami";"2";"0.9%";"-";"2";"2";"0";"2";"0%";"0";"3.5";"2";"0.57";"23.5";"0.76";"5.8";"189";"80%";"0%";"11.9%";""
"Janna";"2";"0.9%";"1";"1";"1";"0";"1";"0%";"0";"1";"2";"2";"16";"0.57";"6.1";"217";"66.7%";"0%";"12.5%";""
"Kog'Maw";"2";"0.9%";"1";"1";"1";"0";"1";"0%";"8";"5";"3";"2.2";"550";"10.07";"27.1";"497";"52.4%";"38.1%";"28.1%";""
"Tryndamere";"2";"0.9%";"1";"1";"1";"0";"1";"0%";"0";"2";"0";"0";"255";"10.5";"8.9";"368";"0%";"0%";"23.9%";""
"Zac";"2";"0.9%";"1";"1";"1";"0";"1";"0%";"0";"3";"2";"0.67";"194";"5.36";"9.8";"270";"66.7%";"0%";"16.8%";""
"Anivia";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"0";"4";"1";"0.25";"235";"8.99";"8.8";"336";"20%";"0%";"21.9%";""
"Darius";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"2";"4";"2";"1";"177";"7.14";"8.1";"327";"80%";"40%";"22.5%";""
"Ivern";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"0";"1";"0";"0";"177";"5.45";"8.9";"275";"-nan%";"-nan%";"18.1%";""
"Jax";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"1";"4";"2";"0.75";"347";"8.65";"15.2";"379";"25%";"8.3%";"23.1%";""
"Jinx";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"5";"3";"2";"2.33";"350";"10.45";"14.9";"445";"58.3%";"41.7%";"27.2%";""
"Lux";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"0";"3";"1";"0.33";"27";"0.87";"6.3";"205";"33.3%";"0%";"12.9%";""
"Twitch";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"2";"6";"1";"0.5";"168";"6.67";"7.7";"304";"42.9%";"28.6%";"20.4%";""
"Xin Zhao";"1";"0.4%";"-";"1";"1";"0";"1";"0%";"2";"5";"2";"0.8";"152";"4.47";"9.2";"270";"80%";"40%";"17.2%";""
"Fiora";"1";"0.4%";"1";"-";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Malphite";"1";"0.4%";"1";"-";"-";"0";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
